GO.ID	Description	p.Val	FDR	Phenotype	Genes
EXTRACELLULAR VESICLE-MEDIATED SIGNALING IN RECIPIENT CELLS%WIKIPATHWAYS_20190610%WP2870%HOMO SAPIENS	http://www.wikipathways.org/instance/WP2870_r88052	7.652726568911857e-14	7.652726568911857e-14	+1	APC,KRAS,EGFR,CTNNB1,NRAS,AKT1,HGF,MTOR,SMAD4,TGFBR2,SMAD2
BLADDER CANCER%WIKIPATHWAYS_20190610%WP2828%HOMO SAPIENS	http://www.wikipathways.org/instance/WP2828_r103783	7.652726568911857e-14	7.652726568911857e-14	+1	TP53,KRAS,EGFR,PIK3R1,CDKN2A,RB1,CDH1,NRAS,BRAF,CCND1,FGFR3,CDKN1A
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	2.154506642849097e-13	2.154506642849097e-13	+1	TP53,PIK3CA,PTEN,PIK3R1,CDKN2A,PIK3CG,CDKN1B,MTOR,SMAD4,TGFBR2
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	AndrogenReceptor	2.3292513307745963e-12	2.3292513307745963e-12	+1	PTEN,EGFR,PIK3R1,RB1,CTNNB1,RUNX1,CEBPA,AKT1,AR,BRCA1,FOXA1,EP300,CCND1,SMAD4,SIN3A,NSD1
ANDROGEN RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20190610%WP138%HOMO SAPIENS	http://www.wikipathways.org/instance/WP138_r79958	2.3292513307745963e-12	2.3292513307745963e-12	+1	PTEN,EGFR,PIK3R1,RB1,CTNNB1,AKT1,AR,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SIN3A,NCOR1
ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20190610%WP673%HOMO SAPIENS	http://www.wikipathways.org/instance/WP673_r102179	2.3292513307745963e-12	2.3292513307745963e-12	+1	TP53,PIK3CA,KRAS,EGFR,PIK3R1,NRAS,MAP2K4,AKT1,BRAF,CDKN1B,ERBB4,MTOR,CCND1,CDKN1A
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	protein autophosphorylation	2.5608058513437843e-12	2.5608058513437843e-12	+1	EGFR,FLT3,STK11,AKT1,ATM,ERBB4,MTOR,LRRK2,CHEK2,KIT,PDGFRA,FGFR2,FGFR3,TAF1,ATR,CDK12,ACVR1B
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806	regulation of cell cycle G1/S phase transition	3.297745409606051e-12	3.297745409606051e-12	+1	TP53,PTEN,EGFR,CDKN2A,RB1,FBXW7,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,TAF1,CDKN2C,EZH2
INTEGRATED CANCER PATHWAY%WIKIPATHWAYS_20190610%WP1971%HOMO SAPIENS	http://www.wikipathways.org/instance/WP1971_r103003	1.0636350571378735e-11	1.0636350571378735e-11	+1	TP53,PTEN,RB1,AKT1,ATM,CDKN1B,BRCA1,CHEK2,CDKN1A,ATR,SMAD2
ESR-MEDIATED SIGNALING%REACTOME DATABASE ID RELEASE 69%8939211	ESR-mediated signaling	1.563458687120104e-11	1.563458687120104e-11	+1	PIK3CA,KRAS,EGFR,PIK3R1,GATA3,RUNX1,NRAS,AKT1,STAG2,CDKN1B,FOXA1,EP300,CCND1,CBFB,HIST1H2BD,SMC1A,SMC3,RAD21
NON-SMALL CELL LUNG CANCER%WIKIPATHWAYS_20190610%WP4255%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4255_r96916	2.221465923025671e-11	2.221465923025671e-11	+1	TP53,PIK3CA,KRAS,EGFR,PIK3R1,CDKN2A,RB1,NRAS,AKT1,BRAF,CCND1,CDKN1A
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	TGF_beta_Receptor	2.5190584685387645e-11	2.5190584685387645e-11	+1	TP53,PIK3R1,RB1,CTNNB1,CTCF,STK11,AKT1,AR,SOX9,BRCA1,EP300,CCND1,SMAD4,TGFBR2,CDKN1A,SMAD2,AXIN2
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	BIOCARTA_G1_PATHWAY	9.728966410180711e-11	9.728966410180711e-11	+1	TP53,CDKN2A,RB1,ATM,CDKN1B,CCND1,SMAD4,CDKN1A,ATR
CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER %WIKIPATHWAYS_20190610%WP4216%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4216_r103785	9.728966410180711e-11	9.728966410180711e-11	+1	TP53,APC,KRAS,CTNNB1,AKT1,BRAF,CCND1,SMAD4,TGFBR2,CDKN1A,SMAD2,AXIN2
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051348	negative regulation of transferase activity	9.749564564378341e-11	9.749564564378341e-11	+1	TP53,PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,EIF4A2,MAPK8IP1,RPL5
REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010717	regulation of epithelial to mesenchymal transition	1.0595360710943182e-10	1.0595360710943182e-10	+1	PTEN,NOTCH1,CTNNB1,EPHA3,MTOR,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
P53 PATHWAY%PANTHER PATHWAY%P00059	p53 pathway	1.526187332827688e-10	1.526187332827688e-10	+1	TP53,PIK3CA,PTEN,AKT1,ATM,CHEK2,EP300,CDKN1A,ATR,SIN3A
MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20190610%WP2857%HOMO SAPIENS	http://www.wikipathways.org/instance/WP2857_r102044	1.5914211869304084e-10	1.5914211869304084e-10	+1	GATA3,NFE2L2,TBX3,KDM6A,ARID5B,FOXA1,SETD2,CCND1,SMAD4,FOXA2,SOX17,PHF6,ACVR2A,SMAD2,AXIN2
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20190610%WP3844%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3844_r89952	1.5914211869304084e-10	1.5914211869304084e-10	+1	PIK3CA,PTEN,KRAS,PIK3R1,NRAS,AKT1,PIK3CG,CDKN1B,MTOR
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	PID_CMYB_PATHWAY	3.072736160761547e-10	3.072736160761547e-10	+1	KRAS,CDKN2A,GATA3,NRAS,CEBPA,CDKN1B,KIT,EP300,CCND1,CDKN1A,SIN3A,NCOR1
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB transcription factor network	3.072736160761547e-10	3.072736160761547e-10	+1	KRAS,CDKN2A,GATA3,NRAS,CEBPA,CDKN1B,KIT,EP300,CCND1,CDKN1A,SIN3A,NCOR1
PI3K AKT SIGNALING IN CANCER%REACTOME DATABASE ID RELEASE 69%2219528	PI3K AKT Signaling in Cancer	6.053557597522366e-10	6.053557597522366e-10	+1	PIK3CA,PTEN,EGFR,PIK3R1,AKT1,CDKN1B,HGF,MTOR,KIT,PDGFRA,CDKN1A,PTPN11
ESC PLURIPOTENCY PATHWAYS%WIKIPATHWAYS_20190610%WP3931%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3931_r102153	1.0071259432349015e-9	1.0071259432349015e-9	+1	PTEN,APC,EGFR,CTNNB1,AKT1,BRAF,MTOR,PDGFRA,FGFR2,SMAD4,FGFR3,PTPN11,LIFR
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	regulation of G1/S transition of mitotic cell cycle	2.2777779714717456e-9	2.2777779714717456e-9	+1	TP53,PTEN,EGFR,CDKN2A,RB1,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	3.155136722031093e-9	3.155136722031093e-9	+1	PIK3CA,APC,PIK3R1,CTNNB1,MAP3K1,CDH1,MAP2K4,AKT1,HGF,MTOR,PTPN11
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	PID_MET_PATHWAY	3.5334313511706197e-9	3.5334313511706197e-9	+1	PIK3CA,APC,PIK3R1,CTNNB1,MAP3K1,CDH1,MAP2K4,AKT1,HGF,MTOR,PTPN11
PID_SMAD2_3NUCLEAR_PATHWAY%MSIGDB_C2%PID_SMAD2_3NUCLEAR_PATHWAY	PID_SMAD2_3NUCLEAR_PATHWAY	3.952359264532513e-9	3.952359264532513e-9	+1	GATA3,RUNX1,AKT1,AR,EP300,SMAD4,CDKN1A,CBFB,SIN3A,NCOR1,SMAD2
REGULATION OF NUCLEAR SMAD2 3 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF NUCLEAR SMAD2 3 SIGNALING	Regulation of nuclear SMAD2 3 signaling	4.4157249370622455e-9	4.4157249370622455e-9	+1	GATA3,RUNX1,AKT1,AR,EP300,SMAD4,CDKN1A,CBFB,SIN3A,NCOR1,SMAD2
MECP2 AND ASSOCIATED RETT SYNDROME%WIKIPATHWAYS_20190610%WP3584%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3584_r97933	6.182833036387041e-9	6.182833036387041e-9	+1	NF1,CTCF,AKT1,MTOR,TET2,TAF1,SIN3A,SMC3,NCOR1,EZH2
PATHWAYS IN CLEAR CELL RENAL CELL CARCINOMA%WIKIPATHWAYS_20190610%WP4018%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4018_r98359	7.140679906561649e-9	7.140679906561649e-9	+1	PTEN,VHL,PBRM1,EGFR,BAP1,AKT1,KDM5C,MTOR,SETD2,PDGFRA,EP300
NEGATIVE REGULATION OF GROWTH%GOBP%GO:0045926	negative regulation of growth	7.608321625004589e-9	7.608321625004589e-9	+1	TP53,PTEN,CDKN2A,NOTCH1,STK11,CDKN1B,WT1,SMAD4,FGFR3,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
ARYL HYDROCARBON RECEPTOR%WIKIPATHWAYS_20190610%WP2586%HOMO SAPIENS	http://www.wikipathways.org/instance/WP2586_r91687	1.1457618238579449e-8	1.1457618238579449e-8	+1	KRAS,EGFR,NF1,RB1,NFE2L2,NRAS,CDKN1B,EP300,CDKN1A
NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1.4035375958158699e-8	1.4035375958158699e-8	+1	TP53,PTEN,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
NEGATIVE REGULATION OF KINASE ACTIVITY%GOBP%GO:0033673	negative regulation of kinase activity	1.5673131460235077e-8	1.5673131460235077e-8	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,MAPK8IP1
PID_ECADHERIN_KERATINOCYTE_PATHWAY%MSIGDB_C2%PID_ECADHERIN_KERATINOCYTE_PATHWAY	PID_ECADHERIN_KERATINOCYTE_PATHWAY	1.5673131460235077e-8	1.5673131460235077e-8	+1	PIK3CA,EGFR,PIK3R1,CTNNB1,CDH1,AKT1,AJUBA
DNA DAMAGE RESPONSE%WIKIPATHWAYS_20190610%WP707%HOMO SAPIENS	http://www.wikipathways.org/instance/WP707_r94731	1.5673131460235077e-8	1.5673131460235077e-8	+1	TP53,RB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR,SMC1A
E-CADHERIN SIGNALING IN KERATINOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN KERATINOCYTES	E-cadherin signaling in keratinocytes	1.5673131460235077e-8	1.5673131460235077e-8	+1	PIK3CA,EGFR,PIK3R1,CTNNB1,CDH1,AKT1,AJUBA
HIPPO-MERLIN SIGNALING DYSREGULATION%WIKIPATHWAYS_20190610%WP4541%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4541_r103434	1.5829616266420006e-8	1.5829616266420006e-8	+1	KRAS,EGFR,CTNNB1,FLT3,CDH1,NRAS,AJUBA,KIT,PDGFRA,FGFR2,CCND1,FGFR3
NEGATIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902807	negative regulation of cell cycle G1/S phase transition	1.5829616266420006e-8	1.5829616266420006e-8	+1	TP53,PTEN,CDKN2A,RB1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME DATABASE ID RELEASE 69%8878159	Transcriptional regulation by RUNX3	1.6857773783478684e-8	1.6857773783478684e-8	+1	TP53,KRAS,CDKN2A,NOTCH1,CTNNB1,RUNX1,EP300,CCND1,SMAD4,CDKN1A,CBFB
PHOTODYNAMIC THERAPY-INDUCED AP-1 SURVIVAL SIGNALING.%WIKIPATHWAYS_20190610%WP3611%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3611_r90923	1.6857773783478684e-8	1.6857773783478684e-8	+1	TP53,EGFR,CDKN2A,RB1,NFE2L2,MAP2K4,PDGFRA,CCND1,CDKN1A
ANGIOGENESIS%PANTHER PATHWAY%P00005	Angiogenesis	1.9013543634203717e-8	1.9013543634203717e-8	+1	PIK3CA,APC,PIK3R1,NOTCH1,CTNNB1,MAP3K1,NRAS,MAP2K4,EPHA3,AKT1,BRAF,PIK3CG,PDGFRA
MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20190610%WP3981%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3981_r97532	1.940651275758447e-8	1.940651275758447e-8	+1	TP53,PIK3CA,KRAS,CTNNB1,AR,CDKN1B,MTOR,CCND1,CDKN1A
REGULATION OF PROTEIN KINASE B SIGNALING%GOBP%GO:0051896	regulation of protein kinase B signaling	2.2984228887820054e-8	2.2984228887820054e-8	+1	PIK3CA,PTEN,EGFR,PIK3R1,GATA3,AKT1,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
GLAND DEVELOPMENT%GOBP%GO:0048732	gland development	2.2984228887820054e-8	2.2984228887820054e-8	+1	NF1,ARHGAP35,TBX3,CEBPA,AKT1,AR,SOX9,WT1,ERBB4,ARID5B,ELF3,FGFR2
DNA IR-DOUBLE STRAND BREAKS (DSBS) AND CELLULAR RESPONSE VIA ATM%WIKIPATHWAYS_20190610%WP3959%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3959_r101991	3.112943292084156e-8	3.112943292084156e-8	+1	TP53,CDKN2A,ATM,BRCA1,CHEK2,BRCA2,ATR,SMC1A,SMC3
EPITHELIAL TO MESENCHYMAL TRANSITION IN COLORECTAL CANCER%WIKIPATHWAYS_20190610%WP4239%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4239_r103784	3.266130748072647e-8	3.266130748072647e-8	+1	TP53,PIK3CA,KRAS,PIK3R1,NOTCH1,CTNNB1,CDH1,MAP2K4,AKT1,SMAD4,TGFBR2,SMAD2,EZH2
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	positive regulation of cell cycle process	3.569839460871227e-8	3.569839460871227e-8	+1	TP53,EGFR,RB1,NPM1,AKT1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CCND1,CDKN1A,RAD21,EZH2
BIOCARTA_G2_PATHWAY%MSIGDB_C2%BIOCARTA_G2_PATHWAY	BIOCARTA_G2_PATHWAY	3.645173750091598e-8	3.645173750091598e-8	+1	TP53,ATM,BRCA1,CHEK2,EP300,CDKN1A,ATR
ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING	ErbB1 downstream signaling	3.860059080797249e-8	3.860059080797249e-8	+1	PIK3CA,KRAS,EGFR,PIK3R1,MAP3K1,NRAS,MAP2K4,AKT1,BRAF,MTOR,PPP2R1A
REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	4.014958173809979e-8	4.014958173809979e-8	+1	PTEN,APC,EGFR,CDKN2A,CEBPA,AKT1,CDKN1B,CCND1,CDKN1A,CDKN2C
PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY	PID_ERBB1_DOWNSTREAM_PATHWAY	4.1455884578287274e-8	4.1455884578287274e-8	+1	PIK3CA,KRAS,EGFR,PIK3R1,MAP3K1,NRAS,MAP2K4,AKT1,BRAF,MTOR,PPP2R1A
MET IN TYPE 1 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20190610%WP4205%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4205_r97130	4.544657910274931e-8	4.544657910274931e-8	+1	PIK3CA,KRAS,PIK3R1,NRAS,AKT1,BRAF,HGF,CDKN1A,PTPN11
SUMO E3 LIGASES SUMOYLATE TARGET PROTEINS%REACTOME%R-HSA-3108232.4	SUMO E3 ligases SUMOylate target proteins	4.919762907359236e-8	4.919762907359236e-8	+1	TP53,VHL,CDKN2A,DNMT3A,NPM1,STAG2,AR,BRCA1,EP300,SIN3A,SMC1A,SMC3,RAD21
NEGATIVE REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0006469	negative regulation of protein kinase activity	5.2112246962318614e-8	5.2112246962318614e-8	+1	PTEN,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,CDKN1A,PPP2R1A,MAPK8IP1
BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY	6.11398287147327e-8	6.11398287147327e-8	+1	PIK3CA,PIK3R1,RB1,AKT1,CDKN1B,CCND1,CDKN1A
REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY%GOBP%GO:1904029	regulation of cyclin-dependent protein kinase activity	6.781019247465775e-8	6.781019247465775e-8	+1	PTEN,APC,EGFR,CDKN2A,CEBPA,AKT1,CDKN1B,CCND1,CDKN1A,CDKN2C
SUMOYLATION%REACTOME%R-HSA-2990846.3	SUMOylation	7.126640101211341e-8	7.126640101211341e-8	+1	TP53,VHL,CDKN2A,DNMT3A,NPM1,STAG2,AR,BRCA1,EP300,SIN3A,SMC1A,SMC3,RAD21
NOTCH SIGNALING PATHWAY%WIKIPATHWAYS_20190610%WP61%HOMO SAPIENS	http://www.wikipathways.org/instance/WP61_r78592	7.701952793357797e-8	7.701952793357797e-8	+1	PIK3R1,GATA3,NOTCH1,FBXW7,AKT1,EP300,CCND1,CDKN1A,NCOR1
BIOCARTA_GSK3_PATHWAY%MSIGDB_C2%BIOCARTA_GSK3_PATHWAY	BIOCARTA_GSK3_PATHWAY	7.732312634700058e-8	7.732312634700058e-8	+1	PIK3CA,APC,PIK3R1,CTNNB1,AKT1,TLR4,CCND1
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	positive regulation of epithelial to mesenchymal transition	8.279308239363573e-8	8.279308239363573e-8	+1	NOTCH1,CTNNB1,MTOR,SMAD4,TGFBR2,SMAD2,AXIN2,EZH2
VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL REPRESSION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL REPRESSION	Validated targets of C-MYC transcriptional repression	8.438196690296595e-8	8.438196690296595e-8	+1	DNMT3A,CEBPA,CDKN1B,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SMAD2
PID_MYC_REPRESS_PATHWAY%MSIGDB_C2%PID_MYC_REPRESS_PATHWAY	PID_MYC_REPRESS_PATHWAY	8.438196690296595e-8	8.438196690296595e-8	+1	DNMT3A,CEBPA,CDKN1B,BRCA1,EP300,CCND1,SMAD4,CDKN1A,SMAD2
CELL CYCLE ARREST%GOBP%GO:0007050	cell cycle arrest	8.459722726069308e-8	8.459722726069308e-8	+1	TP53,APC,CDKN2A,RB1,NOTCH1,STK11,ATM,CDKN1B,MTOR,CDKN1A,CDKN2C
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS%MSIGDB_C2%ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	1.1233452081223911e-7	1.1233452081223911e-7	+1	PIK3CA,PIK3R1,MAP2K4,AKT1,BRAF,PTPN11,MAPK8IP1,EGR3
POSITIVE REGULATION OF PROTEIN KINASE B SIGNALING%GOBP%GO:0051897	positive regulation of protein kinase B signaling	1.1233452081223911e-7	1.1233452081223911e-7	+1	PIK3CA,EGFR,PIK3R1,GATA3,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
REGULATION OF ACTIN CYTOSKELETON%WIKIPATHWAYS_20190610%WP51%HOMO SAPIENS	http://www.wikipathways.org/instance/WP51_r94816	1.1233452081223911e-7	1.1233452081223911e-7	+1	PIK3CA,APC,KRAS,EGFR,PIK3R1,ARHGAP35,NRAS,BRAF,PIK3CG,PDGFRA,FGFR2,FGFR3
CELL AGING%GOBP%GO:0007569	cell aging	1.1233452081223911e-7	1.1233452081223911e-7	+1	TP53,CDKN2A,NPM1,TBX3,ATM,CHEK2,CDKN1A,ATR
RAS SIGNALING%WIKIPATHWAYS_20190610%WP4223%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4223_r96928	1.131570427244242e-7	1.131570427244242e-7	+1	PIK3CA,KRAS,EGFR,NF1,PIK3R1,FLT3,NRAS,AKT1,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
MIRNA REGULATION OF DNA DAMAGE RESPONSE%WIKIPATHWAYS_20190610%WP1530%HOMO SAPIENS	http://www.wikipathways.org/instance/WP1530_r103023	1.131570427244242e-7	1.131570427244242e-7	+1	TP53,RB1,ATM,CDKN1B,BRCA1,CHEK2,CCND1,CDKN1A,ATR,SMC1A
BIOCARTA_ARF_PATHWAY%MSIGDB_C2%BIOCARTA_ARF_PATHWAY	BIOCARTA_ARF_PATHWAY	1.308351059079882e-7	1.308351059079882e-7	+1	TP53,PIK3CA,PIK3R1,CDKN2A,RB1,PIK3CG
RESPONSE TO UV%GOBP%GO:0009411	response to UV	1.308351059079882e-7	1.308351059079882e-7	+1	TP53,EGFR,NPM1,STK11,AKT1,EP300,CCND1,CDKN1A,TAF1,ATR,ERCC2
BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY	BIOCARTA_HCMV_PATHWAY	1.308351059079882e-7	1.308351059079882e-7	+1	PIK3CA,PIK3R1,RB1,MAP3K1,AKT1,PIK3CG
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	Alpha6Beta4Integrin	1.4606571181629353e-7	1.4606571181629353e-7	+1	PIK3CA,EGFR,PIK3R1,AKT1,AR,PIK3CG,MTOR,PTPN11,SMAD2
